material_type,quality_grade,quantity,unit,age_years,damage_percentage,original_price,current_market_price,location,transport_distance,demand_score,reuse_score,selling_price
Window Glass,Grade C,1200.0,sq.ft,4.2,42.9,90000.0,94500.0,Pune,32.1,1.06,38.0,26295.0
Red Bricks,Grade B,500.0,Pieces,0.2,29.2,5500.0,5775.0,Chennai,21.5,1.02,55.00000000000001,2606.0
Construction Sand,Grade B,10.0,Tonnes,2.4,10.6,18000.0,18900.0,Delhi,47.7,1.1,55.00000000000001,9952.0
Asbestos / Hazardous Sheeting,Grade E,800.0,sq.ft,1.9,67.1,0.0,0.0,Delhi,13.2,1.1,0.0,0.0
TMT Steel Rods,Grade B,500.0,kg,0.9,11.5,29000.0,30450.0,Chennai,45.3,1.02,55.00000000000001,15594.0
PVC Pipes,Grade B,100.0,Pieces,0.3,28.2,26000.0,27300.0,Delhi,48.4,1.1,55.00000000000001,12692.0
Corrugated Roofing Sheets,Grade A,500.0,sq.ft,0.7,16.9,32500.0,34125.0,Pune,13.9,1.06,75.0,24082.0
Structural Wood / Timber,Grade D,1200.0,sq.ft,0.6,83.8,156000.0,163800.0,Mysuru,37.8,0.95,22.0,16924.0
PVC Pipes,Grade B,5000.0,Pieces,2.1,23.4,1300000.0,1365000.0,Mumbai,16.5,1.18,55.00000000000001,720878.0
Mixed Demolition Waste,Grade A,15.0,Tonnes,2.1,10.9,6750.0,7087.5,Pune,14.1,1.06,75.0,5100.0
Corrugated Roofing Sheets,Grade A,800.0,sq.ft,3.8,13.9,52000.0,54600.0,Mumbai,41.2,1.18,75.0,44497.0
Window Glass,Grade D,500.0,sq.ft,1.0,59.3,37500.0,39375.0,Bangalore,23.8,1.12,22.0,6015.0
Structural Wood / Timber,Grade C,100.0,sq.ft,1.4,54.0,13000.0,13650.0,Mysuru,7.9,0.95,38.0,3065.0
Window Glass,Grade B,250.0,sq.ft,0.7,12.3,18750.0,19687.5,Bangalore,28.9,1.12,55.00000000000001,11538.0
TMT Steel Rods,Grade A,200.0,kg,1.0,2.2,11600.0,12180.0,Mumbai,11.8,1.18,75.0,10122.0
Ceramic Floor Tiles,Grade C,100.0,sq.ft,2.9,40.3,4200.0,4410.0,Mumbai,22.9,1.18,38.0,1499.0
Aluminum Windows,Grade B,50.0,Pieces,0.9,23.2,140000.0,147000.0,Bangalore,28.2,1.12,55.00000000000001,76436.0
Granite Slabs,Grade A,500.0,sq.ft,7.0,14.1,95000.0,99750.0,Chennai,43.5,1.02,75.0,68977.0
Asbestos / Hazardous Sheeting,Grade E,100.0,sq.ft,8.4,46.6,0.0,0.0,Mumbai,34.9,1.18,0.0,0.0
Sanitaryware Ceramics,Grade A,2000.0,Pieces,2.2,17.2,1700000.0,1785000.0,Mysuru,19.6,0.95,75.0,1119704.0
Window Glass,Grade C,1200.0,sq.ft,2.5,84.0,90000.0,94500.0,Bangalore,26.9,1.12,38.0,19546.0
PVC Pipes,Grade B,200.0,Pieces,1.5,20.9,52000.0,54600.0,Mysuru,30.7,0.95,55.00000000000001,23752.0
Natural Stone Slabs,Grade D,25.0,Tonnes,4.3,55.0,27500.0,28875.0,Mumbai,43.4,1.18,22.0,4411.0
Red Bricks,Grade B,5000.0,Pieces,2.6,15.3,55000.0,57750.0,Mysuru,49.6,0.95,55.00000000000001,26160.0
Concrete Rubble,Grade B,10.0,Tonnes,0.6,15.0,12000.0,12600.0,Bangalore,44.0,1.12,55.00000000000001,6853.0
Corrugated Roofing Sheets,Grade A,800.0,sq.ft,2.3,15.0,52000.0,54600.0,Pune,44.9,1.06,75.0,37722.0
Mixed Demolition Waste,Grade B,60.0,Tonnes,12.2,14.2,27000.0,28350.0,Pune,29.2,1.06,55.00000000000001,14743.0
